cod;cidade;uf;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
82317;Tefé;AM;272,8;244,7;301,3;293,4;275;188,6;124,5;101,3;149,4;161,2;204,3;210,9
82093*;Cupixi;AP;192,6;256;325,7;280,6;315,9;209,2;187,1;145,4;102;61,4;97,4;72,2
82098;Macapá;AP;305,5;341,5;407,7;378,9;361,7;219,8;182,3;97,8;43;31,9;58,6;132,5
82095;Porto Platon;AP;235,4;208,4;315,3;296,6;295,8;201;173,9;132,7;82,2;72,9;86;122,1
83249;Alagoinhas;BA;104,9;99,2;113,8;131,9;193,3;143,7;100,3;68,4;50,7;48,3;95,3;101,9
83236;Barreiras;BA;205,4;172,4;150,5;91,4;23,1;2,5;1,2;1,5;20,1;93,6;192,9;185,4
83288;Bom Jesus da Lapa;BA;146,5;114,7;87,5;71,4;15,9;1,6;0;3,5;12,8;88,5;157,6;190,5
83339;Caetité;BA;156,9;108,9;90,3;68,7;13,1;12;13;6,5;11,5;79,8;172,3;189,4
83498;Caravelas;BA;117,5;63,2;90;125,4;106,2;85,8;106,4;55,9;66,8;136,4;184,5;135,5
83192;Cipó;BA;72,8;104,8;105,3;116,2;108,5;195;154,4;85,4;49,2;21,7;109,5;112,9
83348;Ilhéus;BA;151,2;182,4;216,9;204,7;144,5;200,6;200,5;134,4;128,7;146,9;146,1;178,6
83182*;Irecê;BA;117,2;108,3;90,5;60,3;16,7;1,9;3,7;1,3;17,7;42;106,4;116,4
83244;Itaberaba;BA;109,6;103,4;100,2;77,7;38,1;38,3;32,7;22,3;18;45;89,9;109,9
83295;Itiruçu (Jaguaquara);BA;134,4;96,8;79,8;74,7;56;64,4;70;38,2;28,7;54,6;100,5;115,2
83186;Jacobina;BA;109,3;97,2;124,1;96,8;49,3;54,6;50,6;40,5;31,3;42,4;89,4;112,9
83242;Lençóis;BA;146,4;164,8;164,9;149,1;73;71,8;68,6;31,8;43,9;110,5;197,9;190,1
