"ref";"marca";"modelo";"cambio";"motor";"ano";"valor"
2017-12-01;"Ford";"Ka 1.0 TiVCT Flex 5p";"automatico";1;"2018";37750
2017-12-01;"Ford";"Ka 1.0 TiVCT Flex 5p";"automatico";1;"2017";35244
2017-12-01;"Ford";"Ka 1.0 TiVCT Flex 5p";"automatico";1;"2016";33785
2017-12-01;"Ford";"Ka 1.5 16V Flex 5p";"automatico";1,5;"0 km";48037
2017-12-01;"Ford";"Ka 1.5 16V Flex 5p";"automatico";1,5;"2018";43091
2017-12-01;"Ford";"Ka 1.5 16V Flex 5p";"automatico";1,5;"2017";40798
2017-12-01;"Ford";"Ka 1.5 16V Flex 5p";"automatico";1,5;"2016";36810
2017-12-01;"Ford";"Ka SEL 1.5 16V Flex 5p";"automatico";1,5;"0 km";52768
2017-12-01;"Ford";"Ka SEL 1.5 16V Flex 5p";"automatico";1,5;"2018";46363
2017-12-01;"Ford";"Ka SEL 1.5 16V Flex 5p";"automatico";1,5;"2017";43226
2017-12-01;"Ford";"Ka SEL 1.5 16V Flex 5p";"automatico";1,5;"2016";40205
2017-12-01;"Ford";"Ka TRAIL 1.5 16V Flex Mec. 5p";"manual";1,5;"0 km";50641
2017-12-01;"Ford";"Ka TRAIL 1.5 16V Flex Mec. 5p";"manual";1,5;"2018";44955
2017-12-01;"Ford";"Ka TRAIL 1.5 16V Flex Mec. 5p";"manual";1,5;"2017";41481
2017-12-01;"GM - Chevrolet";"ONIX HATCH ACTIV 1.4 8V Flex 5P Aut.";"automatico";1,4;"0 km";63462
2017-12-01;"GM - Chevrolet";"ONIX HATCH ACTIV 1.4 8V Flex 5P Aut.";"automatico";1,4;"2018";58326
2017-12-01;"GM - Chevrolet";"ONIX HATCH ACTIV 1.4 8V Flex 5P Aut.";"automatico";1,4;"2017";56400
2017-12-01;"GM - Chevrolet";"ONIX HATCH ACTIV 1.4 8V Flex 5p Mec.";"manual";1,4;"0 km";58570
2017-12-01;"GM - Chevrolet";"ONIX HATCH ACTIV 1.4 8V Flex 5p Mec.";"manual";1,4;"2018";53789
2017-12-01;"GM - Chevrolet";"ONIX HATCH ACTIV 1.4 8V Flex 5p Mec.";"manual";1,4;"2017";51411
2017-12-01;"GM - Chevrolet";"ONIX HATCH EFFECT 1.4 8V F.Power 5p Mec.";"manual";1,4;"0 km";53956
2017-12-01;"GM - Chevrolet";"ONIX HATCH EFFECT 1.4 8V F.Power 5p Mec.";"manual";1,4;"2018";49081
2017-12-01;"GM - Chevrolet";"ONIX HATCH EFFECT 1.4 8V F.Power 5p Mec.";"manual";1,4;"2017";46831
2017-12-01;"GM - Chevrolet";"ONIX HATCH EFFECT 1.4 8V F.Power 5p Mec.";"manual";1,4;"2016";44394
2017-12-01;"GM - Chevrolet";"ONIX HATCH Joy 1.0 8V Flex 5p Mec.";"manual";1;"0 km";40607
2017-12-01;"GM - Chevrolet";"ONIX HATCH Joy 1.0 8V Flex 5p Mec.";"manual";1;"2018";37215
2017-12-01;"GM - Chevrolet";"ONIX HATCH Joy 1.0 8V Flex 5p Mec.";"manual";1;"2017";36077
