model;make;year;date;price
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-09-01;52151
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-10-01;52210
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-11-01;51707
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-12-01;50455
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2019-01-01;49965
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2019-02-01;49695
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2019-03-01;49426
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2019-04-01;49522
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2019-05-01;49254
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2019-06-01;48988
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2019-07-01;48510
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2019-08-01;48596
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2017-07-01;70142
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2017-08-01;70888
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2017-09-01;71000
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2017-10-01;71388
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2017-11-01;70742
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2017-12-01;70696
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-01-01;70436
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-02-01;70657
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-03-01;70245
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-04-01;70261
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-05-01;69996
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-06-01;70830
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-07-01;71013
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-08-01;70515
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-09-01;70183
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-10-01;70805
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-11-01;70186
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-12-01;70921
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2019-01-01;71213
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2019-02-01;71193
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2019-03-01;71306
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2019-04-01;72359
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2019-05-01;73464
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2019-06-01;71644
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2019-07-01;71750
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2019-08-01;71405
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2018-10-01;64609
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2018-11-01;63979
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2018-12-01;63120
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2019-01-01;63011
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2019-02-01;62563
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2019-03-01;62118
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2019-04-01;62784
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2019-05-01;64571
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2019-06-01;63506
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2019-07-01;62862
ARGO HGT 1.8 16V Flex Aut.;Fiat;2019;2019-08-01;62965
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2017-07-01;64180
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2017-08-01;64035
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2017-09-01;63831
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2017-10-01;63679
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2017-11-01;64522
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2017-12-01;65412
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-01-01;64701
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-02-01;64700
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-03-01;64398
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-04-01;65267
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-05-01;65010
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-06-01;65021
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-07-01;65880
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-08-01;64858
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-09-01;63560
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-10-01;62554
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-11-01;62043
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-12-01;61205
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2019-01-01;59644
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2019-02-01;60021
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2019-03-01;60245
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2019-04-01;60885
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2019-05-01;61969
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2019-06-01;61359
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2019-07-01;60399
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2019-08-01;60434
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2017-07-01;64125
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2017-08-01;64899
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2017-09-01;65000
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2017-10-01;65429
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2017-11-01;65315
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2017-12-01;65291
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-01-01;65161
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-02-01;65284
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-03-01;64630
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-04-01;63775
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-05-01;63322
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-06-01;62994
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-07-01;63198
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-08-01;63155
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-09-01;63669
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-10-01;64302
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-11-01;64349
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-12-01;63913
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2019-01-01;64529
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2019-02-01;65088
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2019-03-01;65015
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2019-04-01;66166
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2019-05-01;66730
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2019-06-01;67330
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2019-07-01;67750
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2019-08-01;67125
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2018-10-01;58714
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2018-11-01;59576
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2018-12-01;58597
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2019-01-01;58452
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2019-02-01;58397
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2019-03-01;58017
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2019-04-01;57994
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2019-05-01;58674
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2019-06-01;58525
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2019-07-01;59640
ARGO HGT 1.8 16V Flex Mec.;Fiat;2019;2019-08-01;60705
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2017-07-01;58853
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2017-08-01;58560
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2017-09-01;58391
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2017-10-01;58190
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2017-11-01;58987
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2017-12-01;59809
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-01-01;59781
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-02-01;59780
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-03-01;59322
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-04-01;58615
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-05-01;58695
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-06-01;59515
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-07-01;59202
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-08-01;58021
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-09-01;56860
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-10-01;56699
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-11-01;57491
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-12-01;56632
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2019-01-01;56439
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2019-02-01;56478
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2019-03-01;56203
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2019-04-01;55810
